,album,track,artist,plays
0,The Rise and Fall of a Midwest Princess,Red Wine Supernova,Chappell Roan,22
1,Sailor Song,Sailor Song,Gigi Perez,21
2,Unreal Unearth: Unheard,Too Sweet,Hozier,18
3,Fireworks & Rollerblades,Beautiful Things,Benson Boone,17
4,Desire  I Want to Turn Into You,Sunset,Caroline Polachek,16
5,God Needs The Devil,God Needs The Devil,Jonah Kagen,16
6,Talia,Talia,King Princess,16
7,Die with a Smile,Die with a Smile,Lady Gaga,16
8,Silk Chiffon,Silk Chiffon,MUNA,16
9,I've Tried Everything But Therapy (Part 1),Lose Control,Teddy Swims,16
10,HIT ME HARD AND SOFT,CHIHIRO,Billie Eilish,15
11,HIT ME HARD AND SOFT,BIRDS OF A FEATHER,Billie Eilish,14
12,Desire  I Want to Turn Into You,Bunny Is a Rider,Caroline Polachek,14
13,THE TORTURED POETS DEPARTMENT [Explicit],Who's Afraid of Little Old Me?,Taylor Swift,14
14,HIT ME HARD AND SOFT,LUNCH,Billie Eilish,13
15,Pang,So Hot You're Hurting My Feelings,Caroline Polachek,13
16,I'm So Good At Being Alone?,Not The 1975,Knox,13
17,The Rise and Fall of a Midwest Princess,Pink Pony Club,Chappell Roan,12
18,Multitudes,Hiding Out in the Open,Feist,12
19,All in Good Time,All in Good Time,Iron & Wine,12
20,Golden Collection,Don’t Blame Me,Taylor Swift,12
21,Good Luck  Babe!,Good Luck  Babe!,Chappell Roan,11
22,Fleet Foxes,White Winter Hymnal,Fleet Foxes,11
23,How Big  How Blue  How Beautiful (Deluxe),Ship to Wreck,Florence + the Machine,11
24,Wasteland  Baby!,Almost (Sweet Music),Hozier,11
25,Hozier,Like Real People Do,Hozier,11
26,I Miss You Already + I Haven’t Left Yet,All We Ever Do Is Talk,Del Water Gap,10
27,Either/Or,Between the Bars,Elliott Smith,10
28,Turn Off All The Lights,Kiss The Ground,Haven Madison,10
29,Christine and the Queens,Tilted,Christine and the Queens,9
30,Ceremonials,Shake It Out,Florence + the Machine,9
31,Veckatimest,Two Weeks,Grizzly Bear,9
32,The Land Is Inhospitable and So Are We,Heaven,Mitski,9
33,Babel,I Will Wait,Mumford & Sons,9
34,About U,I Know a Place,MUNA,9
35,Labour,Labour,Paris Paloma,9
36,Wincing the Night Away,Australia,The Shins,9
37,Desire  I Want to Turn Into You: Everasking Edition,Spring Is Coming With A Strawberry In The Mouth,Caroline Polachek,8
38,Real Love Baby,Real Love Baby,Father John Misty,8
39,Lungs,Dog Days Are Over,Florence + the Machine,8
40,Unreal Unearth: Unheard,Unknown / Nth,Hozier,8
41,Beast Epic,Call It Dreaming,Iron & Wine,8
42,Dirty Computer,Make Me Feel,Janelle Monáe,8
43,Greatest Hits,Don't Stop Believin',Journey,8
44,Did you know that there's a tunnel under Ocean Blvd (Deluxe Version),Paris  Texas (feat. SYML),Lana Del Rey,8
