,track,album,artist,plays
1,The Giver,The Giver,Chappell Roan,22 scrobbles
2,At The Beach In Every Life At The Beach,In Every Life,Gigi Perez,20
3,Sailor Song,Sailor Song,Gigi Perez,20
4,I Barely Know Her,12 to 12,sombr,20
5,Kansas Anymore (The Longest Goodbye),Sally When The Wine Runs Out,ROLE MODEL,19
6,Our Own House,Our Own House,MisterWives,18
7,I Barely Know Her,we never dated,sombr,18
8,Desire I Want to Turn Into You,Sunset,Caroline Polachek,17
9,Hemingway,Hemingway girl in red,,16
10,HIT ME HARD AND SOFT,BIRDS OF A FEATHER,Billie Eilish,15
11,Writing of Blues and Yellows (Deluxe Version),La Lune,Billie Marten,15
12,21st Century Cool Girl,21st Century Cool Girl,Chloe Qisha,15
13,The Life of a Showgirl,The Fate of Ophelia,Taylor Swift,15
14,SABLE fABLE,Things Behind Things Behind Things,Bon Iver,14
15,At The Beach In Every Life,Chemistry,Gigi Perez,14
16,Long Blue Light,Long Blue Light,Leif Vollebekk,14
17,SABLE fABLE,Everything Is Peaceful Love,Bon Iver,13
18,This Empty Northern Hemisphere,Big Black Car,Gregory Alan Isakov,13
19,Connect the Dots,Coloring Outside the Lines,MisterWives,13
20,Did I Say Too Much,Did I Say Too Much,The Beaches,13
21,The Dream,The Hudson,The Favors,13
22,Wishbone,Vodka Cranberry,Conan Gray,12
23,Madman Across the Water,Tiny Dancer,Elton John,12
24,Good Luck Babe!,Good Luck Babe!,Chappell Roan,11
25,The Rise and Fall of a Midwest Princess,Red Wine Supernova,Chappell Roan,11
26,Deja Vu,Our House,Crosby Stills Nash & Young,11
27,Ceremonials,Shake It Out,Florence + the Machine,11
28,That’s So True (Live From Radio City Music Hall) - Single,that’s so true,Gracie Abrams,11
29,Earthstar Mountain,Earthstar,Hannah Cohen,11
30,Plastic Hearts,Angels Like You,Miley Cyrus,11
31,About U,I Know a Place,MUNA,11
32,Labour,Labour,Paris Paloma,11
33,HIT ME HARD AND SOFT,CHIHIRO,Billie Eilish,10
34,Bon Iver,Towers,Bon Iver,10
35,Willoughby Tucker I'll Always Love You,Nettles,Ethel Cain,10
36,Real Love Baby,Real Love Baby,Father John Misty,10
37,Beast Epic,Call It Dreaming,Iron & Wine,10
38,The Shepherd's Dog,Flightless Bird American Mouth,Iron & Wine,10
39,Our Endless Numbered Days,Naked as We Came,Iron & Wine,10
40,1950,1950,King Princess,10
41,MAYHEM,Die with a Smile,Lady Gaga,10
