,track,count
0,Red Wine Supernova,26
1,Sailor Song,21
2,Too Sweet,21
3,Beautiful Things,19
4,Die With A Smile,18
5,Who’s Afraid of Little Old Me?,18
6,Sunset,17
7,CHIHIRO,17
8,God Needs The Devil,17
9,Silk Chiffon,17
10,Bunny Is A Rider,16
11,Not The 1975,16
12,Lose Control,16
13,"Paris, Texas (feat. SYML)",15
14,Don’t Blame Me,15
15,BIRDS OF A FEATHER,15
16,So Hot You're Hurting My Feelings,15
17,Talia,14
18,Pink Pony Club,14
19,LUNCH,14
20,Believer,13
21,Flowers,13
22,Ship To Wreck,13
23,Almost (Sweet Music),13
24,All in Good Time,13
25,Two Weeks,13
26,Kiss The Ground,12
27,Oh Caroline,12
28,Australia,11
29,Hiding Out In The Open,11
30,Between The Bars,11
31,Houdini,11
32,Heaven,11
33,"Good Luck, Babe!",11
34,כל מה שיש לי,11
35,Blinding Lights,10
36,All We Ever Do Is Talk,10
37,What You Know,10
38,Number One Fan,10
39,Hero,10
40,Dreams,10
41,Real Love Baby,10
42,labour,10
43,I Will Wait,10
44,Rome,10
45,White Winter Hymnal,10
46,Welcome To My Island,10
47,Like Real People Do,10
48,I Know A Place,9
49,Spring Is Coming With A Strawberry In The Mouth,9
50,Make Me Feel,9
51,Amsterdam,9
52,Bloom (Online Bonus Track),9
53,No One Noticed,9
54,מתגעגע,9
55,Tilted,9
56,Eat Your Young,9
57,Pancakes for Dinner,9
58,Nothing Matters,9
59,You're So Vain,9
60,Dog Days Are Over,9
61,בתוך אגם קפוא,9
62,1234,9
63,Fade Into You,8
64,Don't Forget Me,8
65,HOT TO GO!,8
66,Unknown / Nth,8
67,"Drunk, Running",8
68,Fade Away,8
69,מבול,8
70,Past Lives,8
71,Stay Alive,8
72,New Slang - 2021 Remaster,8
73,Irish Eyes,8
74,Anchor,8
75,Now I'm In It - Bonus Track,8
76,The Night We Met,8
77,Every Time the Sun Comes Up,8
78,1950,8
79,Sweet Disposition,8
80,"boys, bugs and men",8
81,Tieduprightnow,8
82,Don't Stop Believin',8
83,Clint Eastwood,8
84,Ordinary Love,8
85,Vampire Empire,8
86,Call It Dreaming,8
87,State Lines,7
88,Levitating,7
89,Runaway,7
90,Our House,7
91,May Ninth,7
92,2 Be Loved (Am I Ready),7
93,עיניים זרות,7
94,הריקוד המוזר של הלב,7
95,One Of Your Girls,7
96,Where You Lead,7
97,Texas Sun,7
98,Africa,7
99,עולם שלי,7
