Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5xHgo5JN0wfsV41HnRaos5,"The Giver","The Giver","Chappell Roan",2025-03-13,202768,73,false,menisadi,2025-12-15T20:17:44Z,"","Chappell Roan PS/ Island",0.558,0.901,4,-3.208,1,0.0583,0.0731,0,0.348,0.678,93.024,4
spotify:track:2262bWmqomIaJXwCRHr13j,"Sailor Song","Sailor Song","Gigi Perez",2024-07-26,211978,88,false,menisadi,2025-12-15T20:17:44Z,"","Gigi Perez PS/ Island",0.494,0.413,11,-10.432,1,0.0254,0.682,0.0000672,0.193,0.273,94.938,4
spotify:track:5LfgzPHvka22FdRAxOme6m,"At The Beach, In Every Life","At The Beach, In Every Life","Gigi Perez",2025-04-25,237809,69,false,menisadi,2025-12-15T20:17:44Z,"","Outtahere, LLC / Island Records",0.459,0.426,1,-8.581,1,0.0305,0.559,0.00000703,0.154,0.251,84.053,4
spotify:track:6MrLkXsMmHaYt680fhJUAq,"12 to 12","12 to 12","sombr",2025-07-24,242903,85,false,menisadi,2025-12-15T20:17:44Z,"","Warner Records",0.656,0.902,11,-2.586,0,0.057,0.0118,0.00000589,0.0949,0.505,123.981,4
spotify:track:2J051fjLklkoPbzOoTAACZ,"Sally, When The Wine Runs Out","Kansas Anymore (The Longest Goodbye)","ROLE MODEL",2025-02-14,218660,83,true,menisadi,2025-12-15T20:17:44Z,"bedroom pop","Interscope Records",0.678,0.814,1,-6.065,1,0.0294,0.015,0,0.104,0.857,119.974,4
spotify:track:3QzbEvmnuZIONNv82PylZb,"Our Own House","Our Own House","MisterWives",2015-02-24,232186,51,false,menisadi,2025-12-15T20:17:44Z,"","Photo Finish / Republic Records",0.559,0.76,8,-4.682,1,0.0575,0.00228,0.000481,0.052,0.433,125.773,4
spotify:track:7o3xJRQhpHRZ6IbyQX2xrp,"we never dated","we never dated","sombr",2025-06-20,196931,73,false,menisadi,2025-12-15T20:17:44Z,"","Warner Records",0.589,0.873,6,-4.509,1,0.0313,0.145,0.000226,0.153,0.966,104.031,4
spotify:track:5dUOWlWWYdAgqeXwTgbaKt,"21st Century Cool Girl","21st Century Cool Girl","Chloe Qisha",2025-01-22,197655,58,false,menisadi,2025-12-15T20:17:44Z,"","VLF Records / Are You Serious? Records",0.493,0.634,5,-6.1,1,0.061,0.253,0,0.115,0.462,114.099,4
spotify:track:6dOtVTDdiauQNBQEDOtlAB,"BIRDS OF A FEATHER","HIT ME HARD AND SOFT","Billie Eilish",2024-05-17,210373,95,false,menisadi,2025-12-15T20:17:44Z,"","Darkroom/Interscope Records",0.747,0.507,2,-10.171,1,0.0358,0.2,0.0608,0.117,0.438,104.978,4
spotify:track:0DwaOWI1kC2s98qLj0LTDd,"La Lune","Writing of Blues and Yellows (Deluxe Version)","Billie Marten",2016-09-23,187266,62,false,menisadi,2025-12-15T20:17:44Z,"","Chess Club/RCA Victor",0.296,0.342,2,-11.879,1,0.0471,0.882,0.000967,0.0748,0.0794,52.001,4
