,track,artist,count
0,Red Wine Supernova,Chappell Roan,24
1,Beautiful Things,Benson Boone,18
2,God Needs The Devil,Jonah Kagen,17
3,Die With A Smile,Lady Gaga,17
4,Sailor Song,Gigi Perez,17
5,Too Sweet,Hozier,17
6,Silk Chiffon,MUNA,15
7,Who’s Afraid of Little Old Me?,Taylor Swift,15
8,Bunny Is A Rider,Caroline Polachek,15
9,So Hot You're Hurting My Feelings,Caroline Polachek,15
10,"Paris, Texas (feat. SYML)",Lana Del Rey,15
11,CHIHIRO,Billie Eilish,15
12,Don’t Blame Me,Taylor Swift,15
13,Lose Control,Teddy Swims,14
14,BIRDS OF A FEATHER,Billie Eilish,14
15,Almost (Sweet Music),Hozier,13
16,Pink Pony Club,Chappell Roan,13
17,Not The 1975,Knox,13
18,Talia,King Princess,12
19,LUNCH,Billie Eilish,12
20,Oh Caroline,The 1975,12
21,Sunset,Caroline Polachek,12
22,Ship To Wreck,Florence + The Machine,12
23,Two Weeks,Grizzly Bear,12
24,Australia,The Shins,11
25,Hiding Out In The Open,Feist,11
26,Between The Bars,Elliott Smith,11
27,Flowers,Miley Cyrus,11
28,All in Good Time,Iron & Wine,11
29,Kiss The Ground,Haven Madison,11
30,Rome,Susanne Sundfør,10
31,labour,Paris Paloma,10
32,Real Love Baby,Father John Misty,10
33,Like Real People Do,Hozier,10
34,Blinding Lights,The Weeknd,10
35,כל מה שיש לי,Rona Kenan,10
36,Welcome To My Island,Caroline Polachek,10
37,Number One Fan,MUNA,10
38,"Good Luck, Babe!",Chappell Roan,10
39,I Will Wait,Mumford & Sons,10
40,White Winter Hymnal,Fleet Foxes,10
41,1234,Feist,9
42,Heaven,Mitski,9
43,Dog Days Are Over,Florence + The Machine,9
44,Pancakes for Dinner,Lizzy McAlpine,9
45,Make Me Feel,Janelle Monáe,9
46,All We Ever Do Is Talk,Del Water Gap,9
47,Bloom (Online Bonus Track),The Paper Kites,9
48,You're So Vain,Carly Simon,9
49,Spring Is Coming With A Strawberry In The Mouth,Caroline Polachek,9
50,Eat Your Young,Hozier,9
51,Ordinary Love,Roosevelt,8
52,HOT TO GO!,Chappell Roan,8
53,New Slang - 2021 Remaster,The Shins,8
54,Now I'm In It - Bonus Track,HAIM,8
55,Fade Into You,Mazzy Star,8
56,בתוך אגם קפוא,Rona Kenan,8
57,Call It Dreaming,Iron & Wine,8
58,מתגעגע,Jimbo J,8
59,The Night We Met,Lord Huron,8
60,Believer,Imagine Dragons,8
61,Unknown / Nth,Hozier,8
62,Tieduprightnow,Parcels,8
63,Tilted,Christine and the Queens,8
64,Irish Eyes,Rose Betts,8
65,Every Time the Sun Comes Up,Sharon Van Etten,8
66,"boys, bugs and men",Paris Paloma,8
67,Fade Away,Susanne Sundfør,8
68,Don't Stop Believin',Journey,8
69,"Drunk, Running",Lizzy McAlpine,8
70,1950,King Princess,8
71,Clint Eastwood,Gorillaz,8
72,One Of Your Girls,Troye Sivan,7
73,Disco Man,Remi Wolf,7
74,The Fall,Gregory Alan Isakov,7
75,Through The Echoes,Paolo Nutini,7
76,Light On,Maggie Rogers,7
77,Vampire Empire,Big Thief,7
78,A Trick of the Light,Villagers,7
79,עיניים זרות,Rona Kenan,7
80,Don't Forget Me,Maggie Rogers,7
81,La Lune,Billie Marten,7
82,2 Be Loved (Am I Ready),Lizzo,7
83,Stay Alive,José González,7
84,Holocene,Bon Iver,7
85,State Lines,Novo Amor,7
86,Africa,TOTO,7
87,Orange Blossoms,GoldFord,7
88,Our House,"Crosby, Stills, Nash & Young",7
89,Anchor,Novo Amor,7
90,L’AMOUR DE MA VIE,Billie Eilish,7
91,Luna,Roosevelt,7
92,Amsterdam,Gregory Alan Isakov,7
93,May Ninth,Khruangbin,7
94,Wildest Dreams (Taylor's Version),Taylor Swift,7
95,Where You Lead,Carole King,7
96,Father Mountain,Calexico,7
97,Texas Sun,Khruangbin,7
98,Falling Apart,Slow Pulp,6
99,Naked as We Came,Iron & Wine,6
