,track,artist,count
0,The Giver,Chappell Roan,26
1,Sailor Song,Gigi Perez,22
2,12 to 12,sombr,21
3,Our Own House,MisterWives,20
4,"Sally, When The Wine Runs Out",ROLE MODEL,20
5,"At The Beach, In Every Life",Gigi Perez,19
6,The Fate of Ophelia,Taylor Swift,18
7,21st Century Cool Girl,Chloe Qisha,18
8,we never dated,sombr,18
9,La Lune,Billie Marten,17
10,The Hudson,The Favors,16
11,BIRDS OF A FEATHER,Billie Eilish,15
12,Sunset,Caroline Polachek,15
13,Hemingway,girl in red,14
14,Long Blue Light,Leif Vollebekk,14
15,Chemistry,Gigi Perez,14
16,THINGS BEHIND THINGS BEHIND THINGS,Bon Iver,14
17,Coloring Outside The Lines,MisterWives,13
18,Did I Say Too Much,The Beaches,13
19,Our House,"Crosby, Stills, Nash & Young",13
20,כל מה שיש לי,Rona Kenan,13
21,Pushing It Down and Praying,Lizzy McAlpine,13
22,Big Black Car,Gregory Alan Isakov,13
23,Shake It Out,Florence + The Machine,13
24,Nice To Each Other,Olivia Dean,13
25,Earthstar,Hannah Cohen,13
26,That’s So True,Gracie Abrams,13
27,Everything Is Peaceful Love,Bon Iver,13
28,Tiny Dancer,Elton John,12
29,Vodka Cranberry,Conan Gray,12
30,labour,Paris Paloma,12
31,I Know A Place,MUNA,12
32,back to friends,sombr,12
33,undressed,sombr,12
34,Blue Ridge Mountains,Fleet Foxes,11
35,Red Wine Supernova,Chappell Roan,11
36,Die With A Smile,Lady Gaga,11
37,Beautiful Things,Benson Boone,11
38,Angels Like You,Miley Cyrus,11
39,Pink Pony Club,Chappell Roan,11
40,Real Love Baby,Father John Misty,11
41,S P E Y S I D E,Bon Iver,11
42,Do I Wanna Know? - Live At the BBC,Hozier,10
43,"Ketchum, ID",boygenius,10
44,"Good Luck, Babe!",Chappell Roan,10
45,Skinny Love,Bon Iver,10
46,What You Know,Two Door Cinema Club,10
47,Nettles,Ethel Cain,10
48,Circle of Life,Carmen Twillie,10
49,לפני שהכל נרדם,Alma Gov,10
50,Fuck Me Eyes,Ethel Cain,10
51,Shivers,Ed Sheeran,10
52,Flowers,Miley Cyrus,10
53,Messy,Lola Young,10
54,Pink Moon,Nick Drake,10
55,Naked as We Came,Iron & Wine,10
56,"Paris, Texas (feat. SYML)",Lana Del Rey,10
57,1950,King Princess,10
58,crooked the road.,Mon Rovîa,10
59,CHIHIRO,Billie Eilish,10
60,"Flightless Bird, American Mouth",Iron & Wine,10
61,Call It Dreaming,Iron & Wine,10
62,Relationships,HAIM,10
63,Patterns,Laura Marling,9
64,Bloom (Online Bonus Track),The Paper Kites,9
65,Image,Magdalena Bay,9
66,Older,Lizzy McAlpine,9
67,Heartbreakdown,SYML,9
68,Suzanne,Leonard Cohen,9
69,"I Lied, I'm Sorry",Chloe Qisha,9
70,What Was That,Lorde,9
71,Attention,Charlie Puth,9
72,Austin (Boots Stop Workin'),Dasha,9
73,Holocene,Bon Iver,9
74,Towers,Bon Iver,9
75,Scott Street,Phoebe Bridgers,9
76,Got To Be Mine,Vulfmon,9
77,Anchor,Novo Amor,9
78,El Invento,José González,9
79,River,Leon Bridges,9
80,Solar Power,Lorde,9
81,World on a String,Jessica Pratt,9
82,Fable,Gigi Perez,9
83,Motion Sickness,Phoebe Bridgers,9
84,Northern Sky,Nick Drake,8
85,Sexy to Someone,Clairo,8
86,good cry,Kenzie Cait,8
87,Texas Sun,Khruangbin,8
88,Amsterdam,Gregory Alan Isakov,8
89,Ribs,Lorde,8
90,Seed of a Seed,Haley Heynderickx,8
91,Wouldn't It Be Nice,The Beach Boys,8
92,"Henry, come on",Lana Del Rey,8
93,Autumn Town Leaves,Iron & Wine,8
94,Landslide,Fleetwood Mac,8
95,Manchild,Sabrina Carpenter,8
96,"Sex, Drugs & Existential Dread",Chloe Qisha,8
97,בתוך אגם קפוא,Rona Kenan,8
98,Cinderella,Remi Wolf,8
99,Famous Blue Raincoat,Leonard Cohen,8
