,track, artist
34,labour, Baris Paloma boys
37,Real Love Baby, Father John Misty
9,Ship To Wreck, Florence + The Machine
50,boys  bugs and men, Paris Paloma
83,Vampire Empire, Big Thief
67,Now I'm In It - Bonus Track, + HAIM
52,Oh Caroline, The 1975
18,Two Weeks, Grizzly Bear
29,Blinding Lights, The Weeknd
3,CHIHIRO, Billie Eilish
68,The Night We Met, Lord Huron
79,Fade Into You, Dl « Mazzy Star
85,Fare Thee Well (Dink's Song), Oscar Isaac & Marcus Mumford
23,Don't Stop Believin', Journey
25,Between The Bars, Elliott Smith
87,Say Yes To Heaven, Lana Del Rey
75,Don't Forget Me, Maggie Rogers
15,Who's Afraid of Little Old Me?, Taylor Swift
49,כל מה שיש לי, Rona Kenan
30,Like Real People Do, Hozier
70,Wildest Dreams (Taylor's Version), Taylor Swift
51,Eat Your Young, Hozier
8,Sailor Song, Gigi Perez
95,המים בורות אל, Rona Kenan
35,Paris  Texas (feat. SYML), Lana Del Rey& SYML
84,Dreams, Beck
13,Die With A Smile, Lady Gaga & Bruno Mars
74,זרות עיניים, Rona Kenan
27,Flowers, Dl + Miley Cyrus
43,Spring Is Coming With a Strawberry in the Mouth, Caroline Polachek
12,LUNCH, Billie Eilish
78,Tieduprightnow, « Parcels
47,Unknown / Nth, Hozier
82,Bloom, The Paper Kites
98,Ocean, Andreas Moe
31,I Will Wait, Mumford & Sons
24,White Winter Hymnal, Fleet Foxes
0,Red Wine Supernova, Chappell Roan
11,So Hot You're Hurting My Feelings, Caroline Polachek
40,Dog Days Are Over, Florence + The Machine
64,A Trick of the Light, Villagers
48,You're So Vain, Carly Simon
72,Disco Man, © Remi Wolf
32,Australia, The Shins
56,Father Mountain, Calexico & Iron and Wine
58,Stay Alive, José Gonzalez
61,Texas Sun, Khruangbin & Leon Bridges
91,Another Sunny Day, Belle and Sebastian
5,God Needs The Devil, Jonah Kagen
60,1950, King Princess
71,Our House, Crosby  Stills  Nash & Young
96,High and Dry, Radiohead
4,Don't Blame Me, Taylor Swift
2,Too Sweet, Hozier
77,Luna, Roosevelt
53,1234, Feist
88,Sky Full Of Song, Florence + The Machine
99,Shake It Out, Florence + The Machine
62,Anchor, @ Novo Amor
90,Bug Like an Angel, Mitski
19,Not The 1975, Knox
44,Pancakes for Dinner, Lizzy McAlpine
36,Make Me Feel, Janelle Monde
41,Number One Fan, MUNA
73,New Slang, The Shins
26,Almost (Sweet Music), Hozier
42,Call It Dreaming, Iron & Wine
39,Ordinary Love, Roosevelt
92,Solar Power, Lorde
69,Fade Away, Susanne Sundfor
20,Lose Control, Teddy Swims
63,Where You Lead, Carole King
66,בתוך אגם קפוא, Rona Kenan
59,LAMOUR DE MA VIE, Billie Eilish
1,Bunny Is A Rider, Caroline Polachek
21,Hiding Out In The Open, Feist
22,All in Good Time, lron and Wine & Fiona Apple
14,Beautiful Things, + Benson Boone
6,Silk Chiffon, MUNA & Phoebe Bridgers
65,Light On, Maggie Rogers
97,Buzzcut Season, Lorde
28,Good Luck Babe!, Chappell Roan
93,360, GD Masic video + Charli xcx
89,Fourth Of July, Fall Out Boy
54,Tilted, Christine and the Queens
38,Rome, Susanne Sundfor
17,Sunset, Caroline Polachek
80,The Fall, Gregory Alan Isakov
81,One Of Your Girls, 1 Troye Sivan
76,Every Time the Sun Comes Up, Sharon Van Etten
57,Holocene, GD Bon Iver
55,Believer, Imagine Dragons
94,Heaven, Mitski
86,Thingamajig, Miya Folick
45,Kiss The Ground, Haven Madison
33,Welcome To My Island, Caroline Polachek
7,BIRDS OF A FEATHER, Billie Eilish
10,Talia, King Princess
16,Pink Pony Club, + Chappell Roan
46,All We Ever Do Is Talk, Del Water Gap
