track, artist
Bunny Is A Rider, Caroline Polachek
Red Wine Supernova, Chappell Roan
CHIHIRO, Billie Eilish
Too Sweet, Hozier
God Needs The Devil, Jonah Kagen
Don't Blame Me, Taylor Swift
BIRDS OF A FEATHER, Billie Eilish
Silk Chiffon, MUNA & Phoebe Bridgers
Ship To Wreck, Florence + The Machine
Sailor Song, Gigi Perez
So Hot You're Hurting My Feelings, Caroline Polachek
Talia, King Princess
Die With A Smile, Lady Gaga & Bruno Mars
LUNCH, Billie Eilish
Who's Afraid of Little Old Me?, Taylor Swift
Beautiful Things, + Benson Boone
Sunset, Caroline Polachek
Pink Pony Club, + Chappell Roan
Not The 1975, Knox
Two Weeks, Grizzly Bear
Hiding Out In The Open, Feist
Lose Control, Teddy Swims
Don't Stop Believin', Journey
All in Good Time, lron and Wine & Fiona Apple
Between The Bars, Elliott Smith
White Winter Hymnal, Fleet Foxes
Flowers, Dl + Miley Cyrus
Almost (Sweet Music), Hozier
Blinding Lights, The Weeknd
Good Luck Babe!, Chappell Roan
I Will Wait, Mumford & Sons
Like Real People Do, Hozier
Welcome To My Island, Caroline Polachek
Australia, The Shins
Paris  Texas (feat. SYML), Lana Del Rey& SYML
labour, Baris Paloma boys
Real Love Baby, Father John Misty
Make Me Feel, Janelle Monde
Ordinary Love, Roosevelt
Rome, Susanne Sundfor
Number One Fan, MUNA
Dog Days Are Over, Florence + The Machine
Spring Is Coming With a Strawberry in the Mouth, Caroline Polachek
Call It Dreaming, Iron & Wine
Kiss The Ground, Haven Madison
Pancakes for Dinner, Lizzy McAlpine
Unknown / Nth, Hozier
All We Ever Do Is Talk, Del Water Gap
כל מה שיש לי, Rona Kenan
You're So Vain, Carly Simon
Eat Your Young, Hozier
boys  bugs and men, Paris Paloma
1234, Feist
Oh Caroline, The 1975
Believer, Imagine Dragons
Tilted, Christine and the Queens
Holocene, GD Bon Iver
Father Mountain, Calexico & Iron and Wine
LAMOUR DE MA VIE, Billie Eilish
Stay Alive, José Gonzalez
Texas Sun, Khruangbin & Leon Bridges
1950, King Princess
Where You Lead, Carole King
Anchor, @ Novo Amor
Light On, Maggie Rogers
A Trick of the Light, Villagers
Now I'm In It - Bonus Track, + HAIM
בתוך אגם קפוא, Rona Kenan
Fade Away, Susanne Sundfor
The Night We Met, Lord Huron
Our House, Crosby  Stills  Nash & Young
Wildest Dreams (Taylor's Version), Taylor Swift
New Slang, The Shins
Disco Man, © Remi Wolf
Don't Forget Me, Maggie Rogers
זרות עיניים, Rona Kenan
Luna, Roosevelt
Every Time the Sun Comes Up, Sharon Van Etten
Fade Into You, Dl « Mazzy Star
Tieduprightnow, « Parcels
One Of Your Girls, 1 Troye Sivan
The Fall, Gregory Alan Isakov
Vampire Empire, Big Thief
Bloom, The Paper Kites
Fare Thee Well (Dink's Song), Oscar Isaac & Marcus Mumford
Dreams, Beck
Say Yes To Heaven, Lana Del Rey
Thingamajig, Miya Folick
Fourth Of July, Fall Out Boy
Sky Full Of Song, Florence + The Machine
Another Sunny Day, Belle and Sebastian
Bug Like an Angel, Mitski
360, GD Masic video + Charli xcx
Solar Power, Lorde
המים בורות אל, Rona Kenan
Heaven, Mitski
Buzzcut Season, Lorde
High and Dry, Radiohead
Shake It Out, Florence + The Machine
Ocean, Andreas Moe
