,artist,track,count
0,Chappell Roan,Red Wine Supernova,28
1,Gigi Perez,Sailor Song,25
2,Hozier,Too Sweet,24
3,Benson Boone,Beautiful Things,20
4,Taylor Swift,Who’s Afraid of Little Old Me?,19
5,Lady Gaga,Die With A Smile,18
6,Caroline Polachek,Bunny Is A Rider,18
7,Caroline Polachek,Sunset,18
8,Knox,Not The 1975,18
9,MUNA,Silk Chiffon,18
10,Teddy Swims,Lose Control,18
11,Billie Eilish,CHIHIRO,17
12,Jonah Kagen,God Needs The Devil,17
13,Chappell Roan,Pink Pony Club,17
14,Billie Eilish,BIRDS OF A FEATHER,16
15,Taylor Swift,Don’t Blame Me,15
16,Lana Del Rey,"Paris, Texas (feat. SYML)",15
17,Caroline Polachek,So Hot You're Hurting My Feelings,15
18,Miley Cyrus,Flowers,15
19,Chappell Roan,"Good Luck, Babe!",15
20,Father John Misty,Real Love Baby,15
21,Rona Kenan,כל מה שיש לי,14
22,King Princess,Talia,14
23,Billie Eilish,LUNCH,14
24,Iron & Wine,All in Good Time,13
25,Florence + The Machine,Ship To Wreck,13
26,Hozier,Almost (Sweet Music),13
27,Haven Madison,Kiss The Ground,13
28,The 1975,Oh Caroline,13
29,Feist,Hiding Out In The Open,13
30,Grizzly Bear,Two Weeks,12
31,Paris Paloma,labour,11
32,Two Door Cinema Club,What You Know,11
33,MUNA,I Know A Place,11
34,Rona Kenan,בתוך אגם קפוא,11
35,Elliott Smith,Between The Bars,11
36,The Marías,No One Noticed,11
37,The Shins,Australia,11
38,Mumford & Sons,I Will Wait,10
39,Del Water Gap,All We Ever Do Is Talk,10
40,The Last Dinner Party,Nothing Matters,10
41,MUNA,Number One Fan,10
42,Caroline Polachek,Welcome To My Island,10
43,The Weeknd,Blinding Lights,10
44,Susanne Sundfør,Rome,10
45,Hozier,Like Real People Do,10
46,Fleet Foxes,White Winter Hymnal,10
47,Lizzy McAlpine,Pancakes for Dinner,10
48,Caroline Polachek,Spring Is Coming With A Strawberry In The Mouth,9
49,Justice,Neverender,9
50,Hozier,Eat Your Young,9
51,Chappell Roan,HOT TO GO!,9
52,Florence + The Machine,Dog Days Are Over,9
53,Carly Simon,You're So Vain,9
54,Parcels,Tieduprightnow,9
55,Jimbo J,מתגעגע,9
56,Janelle Monáe,Make Me Feel,9
57,Mitski,Heaven,9
58,The Paper Kites,Bloom (Online Bonus Track),9
59,Feist,1234,9
60,Sharon Van Etten,Every Time the Sun Comes Up,9
61,Christine and the Queens,Tilted,9
62,José González,Stay Alive,9
63,Alma Gov,שוב במדבר,9
64,Roosevelt,Ordinary Love,9
65,Iron & Wine,Call It Dreaming,8
66,Taylor Swift,Wildest Dreams (Taylor's Version),8
67,Lizzy McAlpine,"Drunk, Running",8
68,Dua Lipa,Houdini,8
69,Rona Kenan,הריקוד המוזר של הלב,8
70,HAIM,Now I'm In It - Bonus Track,8
71,Hozier,Unknown / Nth,8
72,Novo Amor,State Lines,8
73,Paris Paloma,"boys, bugs and men",8
74,The Temper Trap,Sweet Disposition,8
75,Billie Eilish,L’AMOUR DE MA VIE,8
76,Imagine Dragons,Believer,8
77,Gregory Alan Isakov,Amsterdam,8
78,Mazzy Star,Fade Into You,8
79,Gorillaz,Clint Eastwood,8
80,Susanne Sundfør,Fade Away,8
81,Journey,Don't Stop Believin',8
82,The Shins,New Slang - 2021 Remaster,8
83,Rose Betts,Irish Eyes,8
84,Lizzo,2 Be Loved (Am I Ready),8
85,Fleetwood Mac,Landslide,8
86,Lord Huron,The Night We Met,8
87,King Princess,1950,8
88,Bon Iver,Holocene,8
89,Rona Kenan,בדרך הביתה,8
90,Villagers,A Trick of the Light,7
91,Calexico,Father Mountain,7
92,Yaelokre,Harpy Hare,7
93,Iron & Wine,Naked as We Came,7
94,Remi Wolf,Disco Man,7
95,Maggie Rogers,Light On,7
96,Troye Sivan,One Of Your Girls,7
97,Chloe Qisha,"I Lied, I'm Sorry",7
98,Remi Wolf,Cinderella,7
99,Paolo Nutini,Through The Echoes,7
